Date,AAPL,MSFT
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-06,,
2020-04-07,,
2020-04-08,,
2020-04-09,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-20,,
2020-04-21,,
2020-04-22,,
2020-04-23,,
2020-04-24,,
2020-04-27,,
2020-04-28,,
2020-04-29,,
2020-04-30,,
2020-05-01,,
2020-05-04,,
2020-05-05,,
2020-05-06,,
2020-05-07,,
2020-05-08,,
2020-05-11,,
2020-05-12,,
2020-05-13,,
2020-05-14,,
2020-05-15,,
2020-05-18,,
2020-05-19,,
2020-05-20,,
2020-05-21,,
2020-05-22,,
2020-05-26,,
2020-05-27,,
2020-05-28,,
2020-05-29,,
2020-06-01,,
2020-06-02,,
2020-06-03,,
2020-06-04,,
2020-06-05,,
2020-06-08,,
2020-06-09,,
2020-06-10,,
2020-06-11,,
2020-06-12,,
2020-06-15,,
2020-06-16,,
2020-06-17,,
2020-06-18,,
2020-06-19,,
2020-06-22,,
2020-06-23,,
2020-06-24,,
2020-06-25,,
2020-06-26,,
2020-06-29,,
2020-06-30,,
2020-07-01,,
2020-07-02,,
2020-07-06,,
2020-07-07,,
2020-07-08,,
2020-07-09,,
2020-07-10,,
2020-07-13,,
2020-07-14,,
2020-07-15,,
2020-07-16,,
2020-07-17,,
2020-07-20,,
2020-07-21,,
2020-07-22,,
2020-07-23,,
2020-07-24,,
2020-07-27,,
2020-07-28,,
2020-07-29,,
2020-07-30,,
2020-07-31,,
2020-08-03,,
2020-08-04,,
2020-08-05,,
2020-08-06,,
2020-08-07,,
2020-08-10,,
2020-08-11,,
2020-08-12,,
2020-08-13,,
2020-08-14,,
2020-08-17,,
2020-08-18,,
2020-08-19,,
2020-08-20,,
2020-08-21,,
2020-08-24,,
2020-08-25,,
2020-08-26,,
2020-08-27,,
2020-08-28,,
2020-08-31,,
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-08,,
2020-09-09,,
2020-09-10,,
2020-09-11,,
2020-09-14,,
2020-09-15,,
2020-09-16,,
2020-09-17,,
2020-09-18,,
2020-09-21,,
2020-09-22,,
2020-09-23,,
2020-09-24,,
2020-09-25,,
2020-09-28,,
2020-09-29,,
2020-09-30,,
2020-10-01,,
2020-10-02,,
2020-10-05,,
2020-10-06,,
2020-10-07,,
2020-10-08,,
2020-10-09,,
2020-10-12,,
2020-10-13,,
2020-10-14,,
2020-10-15,,
2020-10-16,,
2020-10-19,,
2020-10-20,,
2020-10-21,,
2020-10-22,,
2020-10-23,,
2020-10-26,,
2020-10-27,,
2020-10-28,,
2020-10-29,,
2020-10-30,,
2020-11-02,,
2020-11-03,,
2020-11-04,,
2020-11-05,,
2020-11-06,,
2020-11-09,,
2020-11-10,,
2020-11-11,,
2020-11-12,,
2020-11-13,,
2020-11-16,,
2020-11-17,,
2020-11-18,,
2020-11-19,,
2020-11-20,,
2020-11-23,,
2020-11-24,,
2020-11-25,,
2020-11-27,,
2020-11-30,,
2020-12-01,,
2020-12-02,,
2020-12-03,,
2020-12-04,,
2020-12-07,,
2020-12-08,,
2020-12-09,,
2020-12-10,,
2020-12-11,,
2020-12-14,,
2020-12-15,,
2020-12-16,,
2020-12-17,,
2020-12-18,,
2020-12-21,,
2020-12-22,,
2020-12-23,,
2020-12-24,,
2020-12-28,,
2020-12-29,,
2020-12-30,,
2020-12-31,,
2021-01-04,,
2021-01-05,,
2021-01-06,-0.002221172015489958,-0.005214713467362336
2021-01-07,0.0033916633543756187,0.004434950873415174
2021-01-08,-0.0035715391085371223,0.0023050584477338643
2021-01-11,0.005696967349878863,0.004638585955464307
2021-01-12,0.00024939740319822757,0.001418166090044672
2021-01-13,0.0030575509882917675,0.002774998355491816
2021-01-14,-0.010000980991205263,-3.415735212762875e-05
2021-01-15,-0.011007376811133712,-0.010905225131354319
2021-01-19,-0.01690625664328765,-0.011467105060730301
2021-01-20,0.010310562433169874,-0.006764615268122189
2021-01-21,-0.016349689568718684,-0.00656356478355935
2021-01-22,-0.0061243169032527195,0.0004785327649608562
2021-01-25,0.034492937091373084,0.014758280764327988
2021-01-26,0.02071140845812522,0.020307157034388013
2021-01-27,-0.009567574926498037,-0.009952498477079633
2021-01-28,-0.010850217488038813,-0.01127831592345711
2021-01-29,0.008917904445944553,0.015271624429055044
2021-02-01,-0.011509301250924728,0.004570125765595404
2021-02-02,0.008184369172005924,0.02078144965291093
2021-02-03,-0.009567000415150767,0.01749419013839857
2021-02-04,-0.037836701684196214,0.04150693762766291
2021-02-05,-0.028913634517662566,0.03334700248028016
2021-02-08,-0.017231359394631343,0.03266256718021247
2021-02-09,-0.014958126911750962,0.03179984814466348
2021-02-10,-0.01330946891858499,0.02407055346373064
2021-02-11,-0.0038651348362399272,0.016953032378352367
2021-02-12,-0.007498641853769736,0.00903007144942114
2021-02-16,-0.00508964718671754,0.015558440288475646
2021-02-17,0.002010135403023595,0.01774369060719845
2021-02-18,-0.006363801402618636,0.010554396579730403
2021-02-19,-0.02101753527114164,0.015504178576511225
2021-02-22,-0.022656659984355516,0.011111668770871243
2021-02-23,-0.019127908356901528,0.011189181739105422
2021-02-24,-0.00020924352251209394,0.007733105738446565
2021-02-25,0.003560217450758128,0.018530284064177893
2021-02-26,-0.02510193028233694,-0.004359033357361374
2021-03-01,-0.019092370518834736,-0.007982545387039682
