Date,AAPL,MSFT
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-06,,
2020-04-07,,
2020-04-08,,
2020-04-09,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-20,,
2020-04-21,,
2020-04-22,,
2020-04-23,,
2020-04-24,,
2020-04-27,,
2020-04-28,,
2020-04-29,,
2020-04-30,,
2020-05-01,,
2020-05-04,,
2020-05-05,,
2020-05-06,,
2020-05-07,,
2020-05-08,,
2020-05-11,,
2020-05-12,,
2020-05-13,,
2020-05-14,,
2020-05-15,,
2020-05-18,,
2020-05-19,,
2020-05-20,,
2020-05-21,,
2020-05-22,,
2020-05-26,,
2020-05-27,,
2020-05-28,,
2020-05-29,,
2020-06-01,,
2020-06-02,,
2020-06-03,,
2020-06-04,,
2020-06-05,,
2020-06-08,,
2020-06-09,,
2020-06-10,,
2020-06-11,,
2020-06-12,,
2020-06-15,,
2020-06-16,,
2020-06-17,,
2020-06-18,,
2020-06-19,,
2020-06-22,,
2020-06-23,,
2020-06-24,,
2020-06-25,,
2020-06-26,,
2020-06-29,,
2020-06-30,,
2020-07-01,,
2020-07-02,,
2020-07-06,,
2020-07-07,,
2020-07-08,,
2020-07-09,,
2020-07-10,,
2020-07-13,,
2020-07-14,,
2020-07-15,,
2020-07-16,,
2020-07-17,,
2020-07-20,,
2020-07-21,,
2020-07-22,,
2020-07-23,,
2020-07-24,,
2020-07-27,,
2020-07-28,,
2020-07-29,,
2020-07-30,,
2020-07-31,,
2020-08-03,,
2020-08-04,,
2020-08-05,,
2020-08-06,,
2020-08-07,,
2020-08-10,,
2020-08-11,,
2020-08-12,,
2020-08-13,,
2020-08-14,,
2020-08-17,,
2020-08-18,,
2020-08-19,,
2020-08-20,,
2020-08-21,,
2020-08-24,,
2020-08-25,,
2020-08-26,,
2020-08-27,,
2020-08-28,,
2020-08-31,,
2020-09-01,,
2020-09-02,,
2020-09-03,,
2020-09-04,,
2020-09-08,,
2020-09-09,,
2020-09-10,,
2020-09-11,,
2020-09-14,,
2020-09-15,,
2020-09-16,,
2020-09-17,,
2020-09-18,,
2020-09-21,,
2020-09-22,,
2020-09-23,,
2020-09-24,,
2020-09-25,,
2020-09-28,,
2020-09-29,,
2020-09-30,,
2020-10-01,,
2020-10-02,,
2020-10-05,,
2020-10-06,,
2020-10-07,,
2020-10-08,,
2020-10-09,,
2020-10-12,,
2020-10-13,,
2020-10-14,,
2020-10-15,,
2020-10-16,,
2020-10-19,,
2020-10-20,,
2020-10-21,,
2020-10-22,,
2020-10-23,,
2020-10-26,,
2020-10-27,,
2020-10-28,,
2020-10-29,,
2020-10-30,,
2020-11-02,,
2020-11-03,,
2020-11-04,,
2020-11-05,,
2020-11-06,,
2020-11-09,,
2020-11-10,,
2020-11-11,,
2020-11-12,,
2020-11-13,,
2020-11-16,,
2020-11-17,,
2020-11-18,,
2020-11-19,,
2020-11-20,,
2020-11-23,,
2020-11-24,,
2020-11-25,,
2020-11-27,,
2020-11-30,,
2020-12-01,,
2020-12-02,,
2020-12-03,,
2020-12-04,,
2020-12-07,,
2020-12-08,,
2020-12-09,,
2020-12-10,,
2020-12-11,,
2020-12-14,,
2020-12-15,,
2020-12-16,,
2020-12-17,,
2020-12-18,,
2020-12-21,,
2020-12-22,,
2020-12-23,,
2020-12-24,,
2020-12-28,,
2020-12-29,,
2020-12-30,,
2020-12-31,,
2021-01-04,,
2021-01-05,,
2021-01-06,0.4710242885728111,0.4218419539301175
2021-01-07,0.5441932440806951,0.5665897395103288
2021-01-08,0.45347336837836494,0.5347282270136758
2021-01-11,0.5739549947536613,0.5696167326939992
2021-01-12,0.503256277417613,0.5213830314203518
2021-01-13,0.5398550782881575,0.5417846370123185
2021-01-14,0.3717145619250063,0.4994847305911768
2021-01-15,0.3593288307550101,0.34003837219907185
2021-01-19,0.29002419701384086,0.332287750445341
2021-01-20,0.6321103166131203,0.39905655321005706
2021-01-21,0.2962908716946253,0.40199464896645776
2021-01-22,0.4205686926805885,0.5072183554431973
2021-01-25,0.8705294029469631,0.7115961395530925
2021-01-26,0.7510667262030588,0.7787186526571996
2021-01-27,0.3770905596935461,0.3533346633002592
2021-01-28,0.3612536637238022,0.3348841372827793
2021-01-29,0.614806368194227,0.7181872159434366
2021-02-01,0.35320551308560433,0.568599533416093
2021-02-02,0.60559683131446,0.7840098042719599
2021-02-03,0.37709770206889337,0.7458561988857476
2021-02-04,0.10779627916117773,0.9417340877301152
2021-02-05,0.1719988667680059,0.8963361260877987
2021-02-08,0.28639268112418703,0.8915972233916463
2021-02-09,0.3122244330546191,0.8854044413193423
2021-02-10,0.3315645472862645,0.8186356556143428
2021-02-11,0.4496682646958604,0.739252841293596
2021-02-12,0.4030663034165841,0.6336188486988112
2021-02-16,0.4338519186243637,0.721837902876509
2021-02-17,0.526226867123911,0.7488708642495271
2021-02-18,0.41750643234886786,0.6550874961121864
2021-02-19,0.24576750320223395,0.7211490141813456
2021-02-22,0.2291905305161177,0.6628174093407914
2021-02-23,0.2656492565674685,0.6638872567258453
2021-02-24,0.49726798599943156,0.6150139189996978
2021-02-25,0.5463798111082797,0.7582499256281572
2021-02-26,0.2056679573455099,0.43453976881258105
2021-03-01,0.26603083315292164,0.3813857408525574
2021-03-02,0.220884343941546,0.5597695800408382
2021-03-03,0.2684661180700224,0.6099911689352127
